Station,Date,AQI,Year,Month,Day
Pirozi,1393/05/04,13,1393,5,4
Pirozi,1393/05/05,,1393,5,5
Pirozi,1393/05/06,,1393,5,6
Pirozi,1393/05/07,,1393,5,7
Pirozi,1393/05/08,,1393,5,8
Pirozi,1393/05/09,,1393,5,9
Pirozi,1393/05/10,,1393,5,10
Pirozi,1393/05/11,,1393,5,11
Pirozi,1393/05/12,,1393,5,12
Pirozi,1393/05/13,,1393,5,13
Pirozi,1393/05/14,,1393,5,14
Pirozi,1393/05/15,14,1393,5,15
Pirozi,1393/05/16,,1393,5,16
Pirozi,1393/05/17,,1393,5,17
Pirozi,1393/05/18,,1393,5,18
Pirozi,1393/05/19,,1393,5,19
Pirozi,1393/05/20,,1393,5,20
Pirozi,1393/05/21,,1393,5,21
Pirozi,1393/05/22,,1393,5,22
Pirozi,1393/05/23,,1393,5,23
Pirozi,1393/05/24,,1393,5,24
Pirozi,1393/05/25,,1393,5,25
Pirozi,1393/05/26,,1393,5,26
Pirozi,1393/05/27,,1393,5,27
Pirozi,1393/05/28,,1393,5,28
Pirozi,1393/05/29,,1393,5,29
Pirozi,1393/05/30,,1393,5,30
Pirozi,1393/05/31,13,1393,5,31
Pirozi,1393/06/01,,1393,6,1
Pirozi,1393/06/02,,1393,6,2
Pirozi,1393/06/03,,1393,6,3
Pirozi,1393/06/04,,1393,6,4
Pirozi,1393/06/05,,1393,6,5
Pirozi,1393/06/06,,1393,6,6
Pirozi,1393/06/07,,1393,6,7
Pirozi,1393/06/08,,1393,6,8
Pirozi,1393/06/09,,1393,6,9
Pirozi,1393/06/10,,1393,6,10
Pirozi,1393/06/11,,1393,6,11
Pirozi,1393/06/12,,1393,6,12
Pirozi,1393/06/13,,1393,6,13
Pirozi,1393/06/14,,1393,6,14
Pirozi,1393/06/15,,1393,6,15
Pirozi,1393/06/16,,1393,6,16
Pirozi,1393/06/17,,1393,6,17
Pirozi,1393/06/18,53,1393,6,18
Pirozi,1393/06/19,44,1393,6,19
Pirozi,1393/06/20,46,1393,6,20
Pirozi,1393/06/21,43,1393,6,21
Pirozi,1393/06/22,42,1393,6,22
Pirozi,1393/06/23,33,1393,6,23
Pirozi,1393/06/24,32,1393,6,24
Pirozi,1393/06/25,36,1393,6,25
Pirozi,1393/06/26,54,1393,6,26
Pirozi,1393/06/27,60,1393,6,27
Pirozi,1393/06/28,54,1393,6,28
Pirozi,1393/06/29,58,1393,6,29
Pirozi,1393/06/30,34,1393,6,30
Pirozi,1393/06/31,33,1393,6,31
Pirozi,1393/07/01,,1393,7,1
Pirozi,1393/07/02,,1393,7,2
Pirozi,1393/07/03,,1393,7,3
Pirozi,1393/07/04,,1393,7,4
Pirozi,1393/07/05,,1393,7,5
Pirozi,1393/07/06,,1393,7,6
Pirozi,1393/07/07,,1393,7,7
Pirozi,1393/07/08,,1393,7,8
Pirozi,1393/07/09,,1393,7,9
Pirozi,1393/07/10,62,1393,7,10
Pirozi,1393/07/11,63,1393,7,11
Pirozi,1393/07/12,41,1393,7,12
Pirozi,1393/07/13,58,1393,7,13
Pirozi,1393/07/14,53,1393,7,14
Pirozi,1393/07/15,64,1393,7,15
Pirozi,1393/07/16,43,1393,7,16
Pirozi,1393/07/17,45,1393,7,17
Pirozi,1393/07/18,56,1393,7,18
Pirozi,1393/07/19,59,1393,7,19
Pirozi,1393/07/20,63,1393,7,20
Pirozi,1393/07/21,63,1393,7,21
Pirozi,1393/07/22,70,1393,7,22
Pirozi,1393/07/23,70,1393,7,23
Pirozi,1393/07/24,94,1393,7,24
Pirozi,1393/07/25,79,1393,7,25
Pirozi,1393/07/26,67,1393,7,26
Pirozi,1393/07/27,66,1393,7,27
Pirozi,1393/07/28,83,1393,7,28
Pirozi,1393/07/29,16,1393,7,29
Pirozi,1393/07/30,83,1393,7,30
Pirozi,1393/08/01,92,1393,8,1
Pirozi,1393/08/02,125,1393,8,2
Pirozi,1393/08/03,97,1393,8,3
Pirozi,1393/08/04,32,1393,8,4
Pirozi,1393/08/05,25,1393,8,5
Pirozi,1393/08/06,28,1393,8,6
Pirozi,1393/08/07,37,1393,8,7
Pirozi,1393/08/08,23,1393,8,8
Pirozi,1393/08/09,33,1393,8,9
Pirozi,1393/08/10,,1393,8,10
Pirozi,1393/08/11,30,1393,8,11
Pirozi,1393/08/12,37,1393,8,12
Pirozi,1393/08/13,29,1393,8,13
Pirozi,1393/08/14,26,1393,8,14
Pirozi,1393/08/15,22,1393,8,15
Pirozi,1393/08/16,37,1393,8,16
Pirozi,1393/08/17,30,1393,8,17
Pirozi,1393/08/18,48,1393,8,18
Pirozi,1393/08/19,51,1393,8,19
Pirozi,1393/08/20,,1393,8,20
Pirozi,1393/08/21,,1393,8,21
Pirozi,1393/08/22,,1393,8,22
Pirozi,1393/08/23,,1393,8,23
Pirozi,1393/08/24,,1393,8,24
Pirozi,1393/08/25,,1393,8,25
Pirozi,1393/08/26,,1393,8,26
Pirozi,1393/08/27,,1393,8,27
Pirozi,1393/08/28,,1393,8,28
Pirozi,1393/08/29,,1393,8,29
Pirozi,1393/08/30,,1393,8,30
Pirozi,1393/09/01,,1393,9,1
Pirozi,1393/09/02,23,1393,9,2
Pirozi,1393/09/03,,1393,9,3
Pirozi,1393/09/04,28,1393,9,4
Pirozi,1393/09/05,19,1393,9,5
Pirozi,1393/09/06,35,1393,9,6
Pirozi,1393/09/07,,1393,9,7
Pirozi,1393/09/08,22,1393,9,8
Pirozi,1393/09/09,,1393,9,9
Pirozi,1393/09/10,,1393,9,10
Pirozi,1393/09/11,,1393,9,11
Pirozi,1393/09/12,,1393,9,12
Pirozi,1393/09/13,,1393,9,13
Pirozi,1393/09/14,,1393,9,14
Pirozi,1393/09/15,,1393,9,15
Pirozi,1393/09/16,,1393,9,16
Pirozi,1393/09/17,,1393,9,17
Pirozi,1393/09/18,,1393,9,18
Pirozi,1393/09/19,,1393,9,19
Pirozi,1393/09/20,,1393,9,20
Pirozi,1393/09/21,,1393,9,21
Pirozi,1393/09/22,,1393,9,22
Pirozi,1393/09/23,,1393,9,23
Pirozi,1393/09/24,,1393,9,24
Pirozi,1393/09/25,,1393,9,25
Pirozi,1393/09/26,,1393,9,26
Pirozi,1393/09/27,,1393,9,27
Pirozi,1393/09/28,,1393,9,28
Pirozi,1393/09/29,,1393,9,29
Pirozi,1393/09/30,,1393,9,30
Pirozi,1393/10/01,,1393,10,1
Pirozi,1393/10/02,,1393,10,2
Pirozi,1393/10/03,,1393,10,3
Pirozi,1393/10/04,,1393,10,4
Pirozi,1393/10/05,,1393,10,5
Pirozi,1393/10/06,77,1393,10,6
Pirozi,1393/10/07,,1393,10,7
Pirozi,1393/10/08,98,1393,10,8
Pirozi,1393/10/09,90,1393,10,9
Pirozi,1393/10/10,83,1393,10,10
Pirozi,1393/10/11,78,1393,10,11
Pirozi,1393/10/12,78,1393,10,12
Pirozi,1393/10/13,77,1393,10,13
Pirozi,1393/10/14,61,1393,10,14
Pirozi,1393/10/15,54,1393,10,15
Pirozi,1393/10/16,54,1393,10,16
Pirozi,1393/10/17,79,1393,10,17
Pirozi,1393/10/18,82,1393,10,18
Pirozi,1393/10/19,69,1393,10,19
Pirozi,1393/10/20,57,1393,10,20
Pirozi,1393/10/21,64,1393,10,21
Pirozi,1393/10/22,61,1393,10,22
Pirozi,1393/10/23,76,1393,10,23
Pirozi,1393/10/24,111,1393,10,24
Pirozi,1393/10/25,108,1393,10,25
Pirozi,1393/10/26,73,1393,10,26
Pirozi,1393/10/27,66,1393,10,27
Pirozi,1393/10/28,,1393,10,28
Pirozi,1393/10/29,,1393,10,29
Pirozi,1393/10/30,,1393,10,30
Pirozi,1393/11/01,,1393,11,1
Pirozi,1393/11/02,,1393,11,2
Pirozi,1393/11/03,79,1393,11,3
Pirozi,1393/11/04,45,1393,11,4
Pirozi,1393/11/05,60,1393,11,5
Pirozi,1393/11/06,99,1393,11,6
Pirozi,1393/11/07,,1393,11,7
Pirozi,1393/11/08,,1393,11,8
Pirozi,1393/11/09,,1393,11,9
Pirozi,1393/11/10,,1393,11,10
