Station,Date,AQI,Year,Month,Day
Ponak,1393/05/10,54,1393,5,10
Ponak,1393/05/11,74,1393,5,11
Ponak,1393/05/12,61,1393,5,12
Ponak,1393/05/13,55,1393,5,13
Ponak,1393/05/14,,1393,5,14
Ponak,1393/05/15,,1393,5,15
Ponak,1393/05/16,,1393,5,16
Ponak,1393/05/17,,1393,5,17
Ponak,1393/05/18,,1393,5,18
Ponak,1393/05/19,,1393,5,19
Ponak,1393/05/20,59,1393,5,20
Ponak,1393/05/21,40,1393,5,21
Ponak,1393/05/22,72,1393,5,22
Ponak,1393/05/23,79,1393,5,23
Ponak,1393/05/24,108,1393,5,24
Ponak,1393/05/25,82,1393,5,25
Ponak,1393/05/26,43,1393,5,26
Ponak,1393/05/27,41,1393,5,27
Ponak,1393/05/28,43,1393,5,28
Ponak,1393/05/29,54,1393,5,29
Ponak,1393/05/30,54,1393,5,30
Ponak,1393/05/31,57,1393,5,31
Ponak,1393/06/01,53,1393,6,1
Ponak,1393/06/02,43,1393,6,2
Ponak,1393/06/03,38,1393,6,3
Ponak,1393/06/04,36,1393,6,4
Ponak,1393/06/05,35,1393,6,5
Ponak,1393/06/06,39,1393,6,6
Ponak,1393/06/07,37,1393,6,7
Ponak,1393/06/08,43,1393,6,8
Ponak,1393/06/09,41,1393,6,9
Ponak,1393/06/10,40,1393,6,10
Ponak,1393/06/11,39,1393,6,11
Ponak,1393/06/12,56,1393,6,12
Ponak,1393/06/13,48,1393,6,13
Ponak,1393/06/14,53,1393,6,14
Ponak,1393/06/15,81,1393,6,15
Ponak,1393/06/16,73,1393,6,16
Ponak,1393/06/17,67,1393,6,17
Ponak,1393/06/18,59,1393,6,18
Ponak,1393/06/19,66,1393,6,19
Ponak,1393/06/20,66,1393,6,20
Ponak,1393/06/21,50,1393,6,21
Ponak,1393/06/22,44,1393,6,22
Ponak,1393/06/23,41,1393,6,23
Ponak,1393/06/24,50,1393,6,24
Ponak,1393/06/25,58,1393,6,25
Ponak,1393/06/26,56,1393,6,26
Ponak,1393/06/27,56,1393,6,27
Ponak,1393/06/28,62,1393,6,28
Ponak,1393/06/29,29,1393,6,29
Ponak,1393/06/30,36,1393,6,30
Ponak,1393/06/31,66,1393,6,31
Ponak,1393/07/01,53,1393,7,1
Ponak,1393/07/02,27,1393,7,2
Ponak,1393/07/03,65,1393,7,3
Ponak,1393/07/04,69,1393,7,4
Ponak,1393/07/05,39,1393,7,5
Ponak,1393/07/06,45,1393,7,6
Ponak,1393/07/07,42,1393,7,7
Ponak,1393/07/08,38,1393,7,8
Ponak,1393/07/09,70,1393,7,9
Ponak,1393/07/10,78,1393,7,10
Ponak,1393/07/11,83,1393,7,11
Ponak,1393/07/12,110,1393,7,12
Ponak,1393/07/13,72,1393,7,13
Ponak,1393/07/14,56,1393,7,14
Ponak,1393/07/15,54,1393,7,15
Ponak,1393/07/16,83,1393,7,16
Ponak,1393/07/17,75,1393,7,17
Ponak,1393/07/18,33,1393,7,18
Ponak,1393/07/19,54,1393,7,19
Ponak,1393/07/20,52,1393,7,20
Ponak,1393/07/21,48,1393,7,21
Ponak,1393/07/22,62,1393,7,22
Ponak,1393/07/23,56,1393,7,23
Ponak,1393/07/24,,1393,7,24
Ponak,1393/07/25,,1393,7,25
Ponak,1393/07/26,,1393,7,26
Ponak,1393/07/27,36,1393,7,27
Ponak,1393/07/28,44,1393,7,28
Ponak,1393/07/29,71,1393,7,29
Ponak,1393/07/30,42,1393,7,30
Ponak,1393/08/01,71,1393,8,1
Ponak,1393/08/02,97,1393,8,2
Ponak,1393/08/03,59,1393,8,3
Ponak,1393/08/04,63,1393,8,4
Ponak,1393/08/05,67,1393,8,5
Ponak,1393/08/06,59,1393,8,6
Ponak,1393/08/07,56,1393,8,7
Ponak,1393/08/08,48,1393,8,8
Ponak,1393/08/09,55,1393,8,9
Ponak,1393/08/10,44,1393,8,10
Ponak,1393/08/11,53,1393,8,11
Ponak,1393/08/12,47,1393,8,12
Ponak,1393/08/13,36,1393,8,13
Ponak,1393/08/14,34,1393,8,14
Ponak,1393/08/15,45,1393,8,15
Ponak,1393/08/16,66,1393,8,16
Ponak,1393/08/17,69,1393,8,17
Ponak,1393/08/18,66,1393,8,18
Ponak,1393/08/19,72,1393,8,19
Ponak,1393/08/20,55,1393,8,20
Ponak,1393/08/21,64,1393,8,21
Ponak,1393/08/22,64,1393,8,22
Ponak,1393/08/23,70,1393,8,23
Ponak,1393/08/24,65,1393,8,24
Ponak,1393/08/25,109,1393,8,25
Ponak,1393/08/26,101,1393,8,26
Ponak,1393/08/27,66,1393,8,27
Ponak,1393/08/28,67,1393,8,28
Ponak,1393/08/29,67,1393,8,29
Ponak,1393/08/30,67,1393,8,30
Ponak,1393/09/01,61,1393,9,1
Ponak,1393/09/02,55,1393,9,2
Ponak,1393/09/03,56,1393,9,3
Ponak,1393/09/04,46,1393,9,4
Ponak,1393/09/05,31,1393,9,5
Ponak,1393/09/06,62,1393,9,6
Ponak,1393/09/07,51,1393,9,7
Ponak,1393/09/08,37,1393,9,8
Ponak,1393/09/09,47,1393,9,9
Ponak,1393/09/10,42,1393,9,10
Ponak,1393/09/11,55,1393,9,11
Ponak,1393/09/12,44,1393,9,12
Ponak,1393/09/13,44,1393,9,13
Ponak,1393/09/14,63,1393,9,14
Ponak,1393/09/15,59,1393,9,15
Ponak,1393/09/16,67,1393,9,16
Ponak,1393/09/17,53,1393,9,17
Ponak,1393/09/18,59,1393,9,18
Ponak,1393/09/19,84,1393,9,19
Ponak,1393/09/20,114,1393,9,20
Ponak,1393/09/21,72,1393,9,21
Ponak,1393/09/22,59,1393,9,22
Ponak,1393/09/23,80,1393,9,23
Ponak,1393/09/24,89,1393,9,24
Ponak,1393/09/25,68,1393,9,25
Ponak,1393/09/26,85,1393,9,26
Ponak,1393/09/27,75,1393,9,27
Ponak,1393/09/28,79,1393,9,28
Ponak,1393/09/29,107,1393,9,29
Ponak,1393/09/30,74,1393,9,30
Ponak,1393/10/01,70,1393,10,1
Ponak,1393/10/02,82,1393,10,2
Ponak,1393/10/03,65,1393,10,3
Ponak,1393/10/04,58,1393,10,4
Ponak,1393/10/05,70,1393,10,5
Ponak,1393/10/06,66,1393,10,6
Ponak,1393/10/07,122,1393,10,7
Ponak,1393/10/08,99,1393,10,8
Ponak,1393/10/09,77,1393,10,9
Ponak,1393/10/10,72,1393,10,10
Ponak,1393/10/11,94,1393,10,11
Ponak,1393/10/12,72,1393,10,12
Ponak,1393/10/13,61,1393,10,13
Ponak,1393/10/14,39,1393,10,14
Ponak,1393/10/15,50,1393,10,15
Ponak,1393/10/16,51,1393,10,16
Ponak,1393/10/17,81,1393,10,17
Ponak,1393/10/18,65,1393,10,18
Ponak,1393/10/19,67,1393,10,19
Ponak,1393/10/20,46,1393,10,20
Ponak,1393/10/21,53,1393,10,21
Ponak,1393/10/22,40,1393,10,22
Ponak,1393/10/23,71,1393,10,23
Ponak,1393/10/24,82,1393,10,24
Ponak,1393/10/25,91,1393,10,25
Ponak,1393/10/26,129,1393,10,26
Ponak,1393/10/27,29,1393,10,27
Ponak,1393/10/28,68,1393,10,28
Ponak,1393/10/29,46,1393,10,29
Ponak,1393/10/30,55,1393,10,30
Ponak,1393/11/01,81,1393,11,1
Ponak,1393/11/02,80,1393,11,2
Ponak,1393/11/03,46,1393,11,3
Ponak,1393/11/04,26,1393,11,4
Ponak,1393/11/05,31,1393,11,5
Ponak,1393/11/06,63,1393,11,6
Ponak,1393/11/07,70,1393,11,7
Ponak,1393/11/08,88,1393,11,8
Ponak,1393/11/09,76,1393,11,9
Ponak,1393/11/10,79,1393,11,10
Ponak,1393/11/11,,1393,11,11
Ponak,1393/11/12,50,1393,11,12
Ponak,1393/11/13,59,1393,11,13
Ponak,1393/11/14,74,1393,11,14
Ponak,1393/11/15,80,1393,11,15
Ponak,1393/11/16,86,1393,11,16
Ponak,1393/11/17,41,1393,11,17
Ponak,1393/11/18,52,1393,11,18
Ponak,1393/11/19,70,1393,11,19
Ponak,1393/11/20,49,1393,11,20
Ponak,1393/11/21,109,1393,11,21
Ponak,1393/11/22,57,1393,11,22
Ponak,1393/11/23,55,1393,11,23
Ponak,1393/11/24,76,1393,11,24
Ponak,1393/11/25,67,1393,11,25
Ponak,1393/11/26,108,1393,11,26
Ponak,1393/11/27,68,1393,11,27
Ponak,1393/11/28,71,1393,11,28
Ponak,1393/11/29,94,1393,11,29
Ponak,1393/11/30,35,1393,11,30
Ponak,1393/12/01,75,1393,12,1
Ponak,1393/12/02,45,1393,12,2
Ponak,1393/12/03,67,1393,12,3
Ponak,1393/12/04,68,1393,12,4
Ponak,1393/12/05,62,1393,12,5
Ponak,1393/12/06,62,1393,12,6
Ponak,1393/12/07,57,1393,12,7
Ponak,1393/12/08,53,1393,12,8
Ponak,1393/12/09,60,1393,12,9
Ponak,1393/12/10,65,1393,12,10
Ponak,1393/12/11,62,1393,12,11
Ponak,1393/12/12,51,1393,12,12
Ponak,1393/12/13,31,1393,12,13
Ponak,1393/12/14,34,1393,12,14
Ponak,1393/12/15,32,1393,12,15
Ponak,1393/12/16,66,1393,12,16
Ponak,1393/12/17,102,1393,12,17
Ponak,1393/12/18,74,1393,12,18
Ponak,1393/12/19,133,1393,12,19
Ponak,1393/12/20,57,1393,12,20
Ponak,1393/12/21,84,1393,12,21
Ponak,1393/12/22,94,1393,12,22
Ponak,1393/12/23,58,1393,12,23
Ponak,1393/12/24,71,1393,12,24
Ponak,1393/12/25,45,1393,12,25
Ponak,1393/12/26,56,1393,12,26
Ponak,1393/12/27,91,1393,12,27
Ponak,1393/12/28,57,1393,12,28
Ponak,1393/12/29,56,1393,12,29
Ponak,1394/01/01,,1394,1,1
Ponak,1394/01/02,,1394,1,2
Ponak,1394/01/03,,1394,1,3
Ponak,1394/01/04,34,1394,1,4
Ponak,1394/01/05,33,1394,1,5
Ponak,1394/01/06,27,1394,1,6
Ponak,1394/01/07,36,1394,1,7
Ponak,1394/01/08,37,1394,1,8
Ponak,1394/01/09,43,1394,1,9
Ponak,1394/01/10,47,1394,1,10
Ponak,1394/01/11,39,1394,1,11
Ponak,1394/01/12,31,1394,1,12
Ponak,1394/01/13,36,1394,1,13
Ponak,1394/01/14,41,1394,1,14
Ponak,1394/01/15,39,1394,1,15
Ponak,1394/01/16,25,1394,1,16
Ponak,1394/01/17,36,1394,1,17
Ponak,1394/01/18,43,1394,1,18
Ponak,1394/01/19,39,1394,1,19
Ponak,1394/01/20,44,1394,1,20
Ponak,1394/01/21,53,1394,1,21
Ponak,1394/01/22,62,1394,1,22
Ponak,1394/01/23,51,1394,1,23
Ponak,1394/01/24,68,1394,1,24
Ponak,1394/01/25,57,1394,1,25
Ponak,1394/01/26,25,1394,1,26
Ponak,1394/01/27,48,1394,1,27
Ponak,1394/01/28,98,1394,1,28
Ponak,1394/01/29,113,1394,1,29
Ponak,1394/01/30,90,1394,1,30
Ponak,1394/01/31,46,1394,1,31
Ponak,1394/02/01,52,1394,2,1
Ponak,1394/02/02,79,1394,2,2
Ponak,1394/02/03,120,1394,2,3
Ponak,1394/02/04,,1394,2,4
Ponak,1394/02/05,,1394,2,5
Ponak,1394/02/06,39,1394,2,6
Ponak,1394/02/07,69,1394,2,7
Ponak,1394/02/08,55,1394,2,8
Ponak,1394/02/09,52,1394,2,9
Ponak,1394/02/10,88,1394,2,10
Ponak,1394/02/11,93,1394,2,11
Ponak,1394/02/12,76,1394,2,12
Ponak,1394/02/13,90,1394,2,13
Ponak,1394/02/14,36,1394,2,14
Ponak,1394/02/15,,1394,2,15
Ponak,1394/02/16,,1394,2,16
Ponak,1394/02/17,,1394,2,17
Ponak,1394/02/18,,1394,2,18
Ponak,1394/02/19,,1394,2,19
Ponak,1394/02/20,71,1394,2,20
Ponak,1394/02/21,55,1394,2,21
Ponak,1394/02/22,62,1394,2,22
Ponak,1394/02/23,64,1394,2,23
Ponak,1394/02/24,,1394,2,24
Ponak,1394/02/25,,1394,2,25
Ponak,1394/02/26,,1394,2,26
Ponak,1394/02/27,,1394,2,27
Ponak,1394/02/28,65,1394,2,28
Ponak,1394/02/29,58,1394,2,29
Ponak,1394/02/30,53,1394,2,30
Ponak,1394/02/31,68,1394,2,31
Ponak,1394/03/01,68,1394,3,1
Ponak,1394/03/02,,1394,3,2
Ponak,1394/03/03,64,1394,3,3
Ponak,1394/03/04,73,1394,3,4
Ponak,1394/03/05,59,1394,3,5
Ponak,1394/03/06,55,1394,3,6
Ponak,1394/03/07,72,1394,3,7
Ponak,1394/03/08,79,1394,3,8
Ponak,1394/03/09,134,1394,3,9
Ponak,1394/03/10,73,1394,3,10
Ponak,1394/03/11,83,1394,3,11
Ponak,1394/03/12,78,1394,3,12
Ponak,1394/03/13,78,1394,3,13
Ponak,1394/03/14,72,1394,3,14
Ponak,1394/03/15,58,1394,3,15
Ponak,1394/03/16,54,1394,3,16
Ponak,1394/03/17,60,1394,3,17
Ponak,1394/03/18,,1394,3,18
Ponak,1394/03/19,100,1394,3,19
Ponak,1394/03/20,106,1394,3,20
Ponak,1394/03/21,131,1394,3,21
Ponak,1394/03/22,,1394,3,22
Ponak,1394/03/23,,1394,3,23
Ponak,1394/03/24,84,1394,3,24
Ponak,1394/03/25,,1394,3,25
Ponak,1394/03/26,114,1394,3,26
Ponak,1394/03/27,108,1394,3,27
Ponak,1394/03/28,64,1394,3,28
Ponak,1394/03/29,56,1394,3,29
Ponak,1394/03/30,54,1394,3,30
Ponak,1394/03/31,56,1394,3,31
Ponak,1394/04/01,68,1394,4,1
Ponak,1394/04/02,78,1394,4,2
Ponak,1394/04/03,86,1394,4,3
Ponak,1394/04/04,77,1394,4,4
Ponak,1394/04/05,58,1394,4,5
Ponak,1394/04/06,75,1394,4,6
Ponak,1394/04/07,88,1394,4,7
Ponak,1394/04/08,77,1394,4,8
Ponak,1394/04/09,94,1394,4,9
Ponak,1394/04/10,84,1394,4,10
Ponak,1394/04/11,78,1394,4,11
Ponak,1394/04/12,63,1394,4,12
Ponak,1394/04/13,59,1394,4,13
Ponak,1394/04/14,101,1394,4,14
Ponak,1394/04/15,84,1394,4,15
Ponak,1394/04/16,74,1394,4,16
Ponak,1394/04/17,,1394,4,17
Ponak,1394/04/18,,1394,4,18
Ponak,1394/04/19,,1394,4,19
Ponak,1394/04/20,,1394,4,20
Ponak,1394/04/21,65,1394,4,21
Ponak,1394/04/22,59,1394,4,22
Ponak,1394/04/23,63,1394,4,23
Ponak,1394/04/24,61,1394,4,24
Ponak,1394/04/25,62,1394,4,25
Ponak,1394/04/26,72,1394,4,26
Ponak,1394/04/27,89,1394,4,27
Ponak,1394/04/28,185,1394,4,28
Ponak,1394/04/29,121,1394,4,29
Ponak,1394/04/30,83,1394,4,30
Ponak,1394/04/31,64,1394,4,31
Ponak,1394/05/01,65,1394,5,1
Ponak,1394/05/02,68,1394,5,2
Ponak,1394/05/03,61,1394,5,3
Ponak,1394/05/04,58,1394,5,4
Ponak,1394/05/05,48,1394,5,5
Ponak,1394/05/06,82,1394,5,6
Ponak,1394/05/07,56,1394,5,7
Ponak,1394/05/08,57,1394,5,8
Ponak,1394/05/09,59,1394,5,9
Ponak,1394/05/10,67,1394,5,10
Ponak,1394/05/11,98,1394,5,11
Ponak,1394/05/12,92,1394,5,12
Ponak,1394/05/13,66,1394,5,13
Ponak,1394/05/14,52,1394,5,14
Ponak,1394/05/15,,1394,5,15
Ponak,1394/05/16,,1394,5,16
Ponak,1394/05/17,,1394,5,17
Ponak,1394/05/18,64,1394,5,18
Ponak,1394/05/19,145,1394,5,19
Ponak,1394/05/20,63,1394,5,20
Ponak,1394/05/21,59,1394,5,21
Ponak,1394/05/22,85,1394,5,22
Ponak,1394/05/23,68,1394,5,23
Ponak,1394/05/24,59,1394,5,24
Ponak,1394/05/25,61,1394,5,25
Ponak,1394/05/26,52,1394,5,26
Ponak,1394/05/27,54,1394,5,27
Ponak,1394/05/28,53,1394,5,28
Ponak,1394/05/29,59,1394,5,29
Ponak,1394/05/30,54,1394,5,30
Ponak,1394/05/31,63,1394,5,31
Ponak,1394/06/01,78,1394,6,1
Ponak,1394/06/02,,1394,6,2
Ponak,1394/06/03,70,1394,6,3
Ponak,1394/06/04,87,1394,6,4
Ponak,1394/06/05,67,1394,6,5
Ponak,1394/06/06,62,1394,6,6
Ponak,1394/06/07,54,1394,6,7
Ponak,1394/06/08,57,1394,6,8
Ponak,1394/06/09,56,1394,6,9
Ponak,1394/06/10,419,1394,6,10
Ponak,1394/06/11,72,1394,6,11
Ponak,1394/06/12,86,1394,6,12
Ponak,1394/06/13,67,1394,6,13
Ponak,1394/06/14,79,1394,6,14
Ponak,1394/06/15,,1394,6,15
Ponak,1394/06/16,56,1394,6,16
Ponak,1394/06/17,86,1394,6,17
Ponak,1394/06/18,80,1394,6,18
Ponak,1394/06/19,67,1394,6,19
Ponak,1394/06/20,61,1394,6,20
Ponak,1394/06/21,67,1394,6,21
Ponak,1394/06/22,80,1394,6,22
Ponak,1394/06/23,48,1394,6,23
Ponak,1394/06/24,60,1394,6,24
Ponak,1394/06/25,67,1394,6,25
Ponak,1394/06/26,58,1394,6,26
Ponak,1394/06/27,56,1394,6,27
Ponak,1394/06/28,43,1394,6,28
Ponak,1394/06/29,39,1394,6,29
Ponak,1394/06/30,66,1394,6,30
Ponak,1394/06/31,59,1394,6,31
Ponak,1394/07/01,68,1394,7,1
Ponak,1394/07/02,57,1394,7,2
Ponak,1394/07/03,48,1394,7,3
Ponak,1394/07/04,40,1394,7,4
Ponak,1394/07/05,45,1394,7,5
Ponak,1394/07/06,50,1394,7,6
Ponak,1394/07/07,53,1394,7,7
Ponak,1394/07/08,52,1394,7,8
Ponak,1394/07/09,62,1394,7,9
Ponak,1394/07/10,56,1394,7,10
Ponak,1394/07/11,48,1394,7,11
Ponak,1394/07/12,72,1394,7,12
Ponak,1394/07/13,69,1394,7,13
Ponak,1394/07/14,56,1394,7,14
Ponak,1394/07/15,,1394,7,15
Ponak,1394/07/16,84,1394,7,16
Ponak,1394/07/17,89,1394,7,17
Ponak,1394/07/18,46,1394,7,18
Ponak,1394/07/19,50,1394,7,19
Ponak,1394/07/20,54,1394,7,20
Ponak,1394/07/21,63,1394,7,21
Ponak,1394/07/22,68,1394,7,22
Ponak,1394/07/23,63,1394,7,23
Ponak,1394/07/24,65,1394,7,24
Ponak,1394/07/25,85,1394,7,25
Ponak,1394/07/26,44,1394,7,26
Ponak,1394/07/27,60,1394,7,27
Ponak,1394/07/28,75,1394,7,28
Ponak,1394/07/29,59,1394,7,29
Ponak,1394/07/30,55,1394,7,30
Ponak,1394/08/01,53,1394,8,1
Ponak,1394/08/02,48,1394,8,2
Ponak,1394/08/03,48,1394,8,3
Ponak,1394/08/04,78,1394,8,4
Ponak,1394/08/05,75,1394,8,5
Ponak,1394/08/06,54,1394,8,6
